Product,Volume,Normal Price,Sale Price
M249 | Magma (Battle-Scarred),99,$0.25 USD,$0.24 USD
PP-Bizon | Cobalt Halftone (Field-Tested),137,$0.25 USD,$0.24 USD
M249 | Magma (Well-Worn),55,$0.29 USD,$0.28 USD
M249 | Magma (Field-Tested),120,$0.29 USD,$0.28 USD
StatTrak™ M249 | Magma (Field-Tested),140,$0.57 USD,$0.55 USD
M249 | Magma (Factory New),104,$0.58 USD,$0.56 USD
StatTrak™ Galil AR | Sandstorm (Battle-Scarred),97,$0.64 USD,$0.62 USD
StatTrak™ Galil AR | Sandstorm (Field-Tested),375,$0.65 USD,$0.63 USD
StatTrak™ M249 | Magma (Well-Worn),58,$0.74 USD,$0.71 USD
StatTrak™ Five-SeveN | Kami (Field-Tested),169,$0.74 USD,$0.71 USD
StatTrak™ PP-Bizon | Cobalt Halftone (Minimal Wear),189,$0.82 USD,$0.79 USD
StatTrak™ M249 | Magma (Minimal Wear),104,$0.86 USD,$0.83 USD
PP-Bizon | Cobalt Halftone (Factory New),60,$0.93 USD,$0.89 USD
